id,host,user,start,end,last.update,duration,duration.min
263630,bigbang.ocf.berkeley.edu,abizer,2017-08-24T18:57:02Z,2017-08-25T06:52:14Z,2017-08-25T06:52:14Z,11:55:12,715.2
263633,madcow.ocf.berkeley.edu,mcint,2017-08-24T19:10:03Z,2017-08-25T05:04:50Z,2017-08-25T05:04:50Z,09:54:47,594.78
263635,meteorstorm.ocf.berkeley.edu,shichenh,2017-08-24T19:18:02Z,2017-08-24T22:41:10Z,2017-08-24T22:41:10Z,03:23:08,203.13
263636,drought.ocf.berkeley.edu,vaibhavj,2017-08-24T19:19:01Z,2017-08-24T20:44:45Z,2017-08-24T20:44:45Z,01:25:44,85.73
263641,chaos.ocf.berkeley.edu,vaibhavj,2017-08-24T19:43:02Z,2017-08-24T19:45:02Z,2017-08-24T19:45:02Z,00:02:00,2
263642,volcano.ocf.berkeley.edu,abizer,2017-08-24T19:46:03Z,2017-08-24T19:51:05Z,2017-08-24T19:51:05Z,00:05:02,5.03
263648,cyanide.ocf.berkeley.edu,andycui,2017-08-24T20:00:02Z,2017-08-24T21:50:16Z,2017-08-24T21:50:16Z,01:50:14,110.23
263649,venom.ocf.berkeley.edu,zdong,2017-08-24T20:00:03Z,2017-08-25T00:00:31Z,2017-08-25T00:00:31Z,04:00:28,240.47
263650,eruption.ocf.berkeley.edu,shasan,2017-08-24T20:01:02Z,2017-08-24T21:49:41Z,2017-08-24T21:49:41Z,01:48:39,108.65
263651,famine.ocf.berkeley.edu,shikhardhingra,2017-08-24T20:04:02Z,2017-08-24T20:20:21Z,2017-08-24T20:20:21Z,00:16:19,16.32
263652,invasion.ocf.berkeley.edu,gleeb,2017-08-24T20:06:02Z,2017-08-24T20:14:31Z,2017-08-24T20:14:31Z,00:08:29,8.48
263653,invasion.ocf.berkeley.edu,gleeb,2017-08-24T20:15:03Z,2017-08-24T23:55:50Z,2017-08-24T23:55:50Z,03:40:47,220.78
263654,famine.ocf.berkeley.edu,christam,2017-08-24T20:26:02Z,2017-08-24T22:24:24Z,2017-08-24T22:24:24Z,01:58:22,118.37
263655,firewhirl.ocf.berkeley.edu,ldw,2017-08-24T20:50:01Z,2017-08-24T23:35:49Z,2017-08-24T23:35:49Z,02:45:48,165.8
263656,drought.ocf.berkeley.edu,kuoh,2017-08-24T22:28:02Z,2017-08-24T22:40:30Z,2017-08-24T22:40:30Z,00:12:28,12.47
263657,avalanche.ocf.berkeley.edu,gleeb,2017-08-24T23:05:03Z,2017-08-25T00:27:13Z,2017-08-25T00:27:13Z,01:22:10,82.17
263658,surge.ocf.berkeley.edu,kuoh,2017-08-24T23:31:02Z,2017-08-24T23:40:35Z,2017-08-24T23:40:35Z,00:09:33,9.55
263659,meteorstorm.ocf.berkeley.edu,kuoh,2017-08-25T00:08:02Z,2017-08-25T00:24:30Z,2017-08-25T00:24:30Z,00:16:28,16.47
263660,madcow.ocf.berkeley.edu,mcint,2017-08-25T05:09:02Z,2017-08-25T05:12:41Z,2017-08-25T05:12:41Z,00:03:39,3.65
263661,blight.ocf.berkeley.edu,mcint,2017-08-25T05:58:03Z,2017-08-25T05:58:24Z,2017-08-25T05:58:24Z,00:00:21,0.35
263662,bigbang.ocf.berkeley.edu,shichenh,2017-08-25T08:10:02Z,2017-08-25T08:42:37Z,2017-08-25T08:42:37Z,00:32:35,32.58
263663,bigbang.ocf.berkeley.edu,shichenh,2017-08-25T08:43:01Z,2017-08-25T08:57:41Z,2017-08-25T08:57:41Z,00:14:40,14.67
263665,eruption.ocf.berkeley.edu,baisang,2017-08-25T08:57:01Z,2017-08-25T11:59:28Z,2017-08-25T11:59:28Z,03:02:27,182.45
263715,asteroid.ocf.berkeley.edu,shichenh,2017-08-25T09:56:02Z,2017-08-25T10:58:43Z,2017-08-25T10:58:43Z,01:02:41,62.68
263724,headcrash.ocf.berkeley.edu,vaibhavj,2017-08-25T10:09:02Z,2017-08-25T10:12:07Z,2017-08-25T10:12:07Z,00:03:05,3.08
263736,cyclone.ocf.berkeley.edu,shasan,2017-08-25T10:16:02Z,2017-08-25T21:42:47Z,2017-08-25T21:42:47Z,11:26:45,686.75
263740,hurricane.ocf.berkeley.edu,shaurya,2017-08-25T10:18:02Z,2017-08-25T10:22:58Z,2017-08-25T10:22:58Z,00:04:56,4.93
263795,firewhirl.ocf.berkeley.edu,kpengboy,2017-08-25T11:06:03Z,2017-08-25T12:25:28Z,2017-08-25T12:25:28Z,01:19:25,79.42
263841,headcrash.ocf.berkeley.edu,chunhaowang,2017-08-25T11:31:02Z,2017-08-25T12:45:22Z,2017-08-25T12:45:22Z,01:14:20,74.33
263859,bigbang.ocf.berkeley.edu,bzhen,2017-08-25T11:46:02Z,2017-08-25T12:58:33Z,2017-08-25T12:58:33Z,01:12:31,72.52
263886,hurricane.ocf.berkeley.edu,asai,2017-08-25T12:12:02Z,2017-08-25T12:19:25Z,2017-08-25T12:19:25Z,00:07:23,7.38
263899,eruption.ocf.berkeley.edu,asai,2017-08-25T12:20:01Z,2017-08-25T18:34:33Z,2017-08-25T18:34:33Z,06:14:32,374.53
263918,firewhirl.ocf.berkeley.edu,vaibhavj,2017-08-25T12:34:02Z,2017-08-25T12:40:41Z,2017-08-25T12:40:41Z,00:06:39,6.65
263975,cyanide.ocf.berkeley.edu,baisang,2017-08-25T13:20:03Z,2017-08-25T13:23:28Z,2017-08-25T13:23:28Z,00:03:25,3.42
263995,hurricane.ocf.berkeley.edu,baisang,2017-08-25T13:36:02Z,2017-08-25T14:18:17Z,2017-08-25T14:18:17Z,00:42:15,42.25
264027,firewhirl.ocf.berkeley.edu,shikhardhingra,2017-08-25T14:07:02Z,2017-08-25T15:59:33Z,2017-08-25T15:59:33Z,01:52:31,112.52
264035,drought.ocf.berkeley.edu,christam,2017-08-25T14:14:02Z,2017-08-25T14:50:03Z,2017-08-25T14:50:03Z,00:36:01,36.02
264048,bigbang.ocf.berkeley.edu,shichenh,2017-08-25T14:20:02Z,2017-08-25T14:56:56Z,2017-08-25T14:56:56Z,00:36:54,36.9
264106,outbreak.ocf.berkeley.edu,andycui,2017-08-25T15:15:03Z,2017-08-25T21:44:22Z,2017-08-25T21:44:22Z,06:29:19,389.32
264143,blizzard.ocf.berkeley.edu,bchieng,2017-08-25T16:01:03Z,2017-08-25T18:03:29Z,2017-08-25T18:03:29Z,02:02:26,122.43
264151,headcrash.ocf.berkeley.edu,vaibhavj,2017-08-25T16:10:03Z,2017-08-25T17:43:16Z,2017-08-25T17:43:16Z,01:33:13,93.22
264167,chaos.ocf.berkeley.edu,jkjhkim,2017-08-25T16:35:02Z,2017-08-25T16:40:41Z,2017-08-25T16:40:41Z,00:05:39,5.65
264177,firewhirl.ocf.berkeley.edu,shikhardhingra,2017-08-25T16:45:02Z,2017-08-25T19:16:02Z,2017-08-25T19:16:02Z,02:31:00,151
264186,madcow.ocf.berkeley.edu,ldw,2017-08-25T16:54:02Z,2017-08-25T18:01:02Z,2017-08-25T18:01:02Z,01:07:00,67
264189,venom.ocf.berkeley.edu,shichenh,2017-08-25T16:59:03Z,2017-08-25T18:12:01Z,2017-08-25T18:12:01Z,01:12:58,72.97
264206,bigbang.ocf.berkeley.edu,shichenh,2017-08-25T18:13:02Z,2017-08-25T23:15:21Z,2017-08-25T23:15:21Z,05:02:19,302.32
264207,drought.ocf.berkeley.edu,christam,2017-08-25T19:10:02Z,2017-08-25T23:16:33Z,2017-08-25T23:16:33Z,04:06:31,246.52
264208,firewhirl.ocf.berkeley.edu,asai,2017-08-25T19:17:01Z,2017-08-25T21:38:38Z,2017-08-25T21:38:38Z,02:21:37,141.62
264209,eruption.ocf.berkeley.edu,kpengboy,2017-08-25T19:38:02Z,2017-08-26T03:12:48Z,2017-08-26T03:12:48Z,07:34:46,454.77
264211,blight.ocf.berkeley.edu,gleeb,2017-08-25T20:20:02Z,2017-08-25T22:19:51Z,2017-08-25T22:19:51Z,01:59:49,119.82
264212,famine.ocf.berkeley.edu,christam,2017-08-25T21:47:03Z,2017-08-25T21:59:16Z,2017-08-25T21:59:16Z,00:12:13,12.22
264213,famine.ocf.berkeley.edu,shichenh,2017-08-25T22:09:01Z,2017-08-25T22:21:46Z,2017-08-25T22:21:46Z,00:12:45,12.75
264214,cyanide.ocf.berkeley.edu,baisang,2017-08-25T22:10:02Z,2017-08-26T00:00:24Z,2017-08-26T00:00:24Z,01:50:22,110.37
264215,famine.ocf.berkeley.edu,shichenh,2017-08-25T22:22:02Z,2017-08-25T22:27:45Z,2017-08-25T22:27:45Z,00:05:43,5.72
264216,blight.ocf.berkeley.edu,shichenh,2017-08-25T22:23:01Z,2017-08-25T22:27:40Z,2017-08-25T22:27:40Z,00:04:39,4.65
264217,headcrash.ocf.berkeley.edu,vaibhavj,2017-08-25T22:29:02Z,2017-08-25T23:07:46Z,2017-08-25T23:07:46Z,00:38:44,38.73
264218,bigbang.ocf.berkeley.edu,shichenh,2017-08-26T07:56:02Z,2017-08-26T11:55:03Z,2017-08-26T11:55:03Z,03:59:01,239.02
264219,cyclone.ocf.berkeley.edu,shasan,2017-08-26T09:31:01Z,2017-08-26T21:58:38Z,2017-08-26T21:58:38Z,12:27:37,747.62
264220,volcano.ocf.berkeley.edu,shichenh,2017-08-26T09:40:02Z,2017-08-26T09:43:36Z,2017-08-26T09:43:36Z,00:03:34,3.57
264221,blizzard.ocf.berkeley.edu,bchieng,2017-08-26T10:52:02Z,2017-08-26T21:55:10Z,2017-08-26T21:55:10Z,11:03:08,663.13
264238,headcrash.ocf.berkeley.edu,vaibhavj,2017-08-26T12:13:02Z,2017-08-26T12:24:31Z,2017-08-26T12:24:31Z,00:11:29,11.48
264243,sinkhole.ocf.berkeley.edu,kuoh,2017-08-26T12:36:01Z,2017-08-26T12:47:50Z,2017-08-26T12:47:50Z,00:11:49,11.82
264260,heatwave.ocf.berkeley.edu,shaurya,2017-08-26T13:30:03Z,2017-08-26T14:37:19Z,2017-08-26T14:37:19Z,01:07:16,67.27
264270,madcow.ocf.berkeley.edu,asai,2017-08-26T14:06:02Z,2017-08-26T16:43:52Z,2017-08-26T16:43:52Z,02:37:50,157.83
264273,bigbang.ocf.berkeley.edu,shichenh,2017-08-26T14:21:02Z,2017-08-26T14:25:25Z,2017-08-26T14:25:25Z,00:04:23,4.38
264274,drought.ocf.berkeley.edu,shichenh,2017-08-26T14:22:02Z,2017-08-26T14:22:02Z,2017-08-26T14:22:02Z,00:00:00,0
264275,meteorstorm.ocf.berkeley.edu,ldw,2017-08-26T14:23:02Z,2017-08-26T14:54:45Z,2017-08-26T14:54:45Z,00:31:43,31.72
264276,bigbang.ocf.berkeley.edu,shichenh,2017-08-26T14:26:02Z,2017-08-26T15:21:42Z,2017-08-26T15:21:42Z,00:55:40,55.67
264279,heatwave.ocf.berkeley.edu,shaurya,2017-08-26T14:38:03Z,2017-08-26T15:21:55Z,2017-08-26T15:21:55Z,00:43:52,43.87
264296,bigbang.ocf.berkeley.edu,shichenh,2017-08-26T15:26:01Z,2017-08-26T15:27:11Z,2017-08-26T15:27:11Z,00:01:10,1.17
264297,acid.ocf.berkeley.edu,jhshi,2017-08-26T15:29:03Z,2017-08-26T15:59:11Z,2017-08-26T15:59:11Z,00:30:08,30.13
264299,headcrash.ocf.berkeley.edu,nicolaschan,2017-08-26T15:32:03Z,2017-08-26T15:40:28Z,2017-08-26T15:40:28Z,00:08:25,8.42
264301,meteorstorm.ocf.berkeley.edu,kpengboy,2017-08-26T15:40:03Z,2017-08-26T16:13:38Z,2017-08-26T16:13:38Z,00:33:35,33.58
